TermID	Name	Value	LogSize	Frequency	Uniqueness	Dispensability	Representative
GO:0000338	"protein deneddylation"	NaN	1.0413926851582251	0.04827652795210968	0.9419149504694394	0.08789671	null
GO:0001952	"regulation of cell-matrix adhesion"	NaN	2.0644579892269186	0.5551800714492614	0.9646650287295943	0.04157856	null
GO:0007009	"plasma membrane organization"	7009	NaN	2.1958996524092336	0.753113836052911	0.9327953898287332	0.71667402	7030
GO:0033292	"T-tubule organization"	33292	NaN	0.9542425094393249	0.038621222361687746	0.9232882313520056	0.55336487	7030
GO:0007033	"vacuole organization"	NaN	2.271841606536499	0.8979434199092402	0.9338883550271695	0.33462609	null
GO:0007049	"cell cycle"	NaN	3.1136091510730277	6.2662933281838376	0.9851859181052892	0.02126082	null
GO:0007154	"cell communication"	NaN	3.7836177651907485	29.327990730906635	0.9812066496188002	0.04843327	null
GO:0007155	"cell adhesion"	NaN	2.964259630196849	4.441440571594091	0.9858440262823239	0.0192025	null
GO:0007158	"neuron cell-cell adhesion"	NaN	1.0413926851582251	0.04827652795210968	0.9883068847975685	0	null
GO:0007163	"establishment or maintenance of cell polarity"	NaN	2.3344537511509307	1.0379453509703582	0.9880628725962354	0.00986834	null
GO:0007166	"cell surface receptor signaling pathway"	NaN	3.301897717195208	9.66978854880757	0.915227252065576	0.38144154	null
GO:0007267	"cell-cell signaling"	NaN	2.967547976218862	4.475234141160567	0.9369457838754055	0.18273124	null
GO:0007268	"chemical synaptic transmission"	NaN	2.5921767573958667	1.8827845901322777	0.9251279527437372	0.25364664	null
GO:0007269	"neurotransmitter secretion"	7269	NaN	2	0.47793762672588586	0.8404696508830676	0.83677186	7268
GO:0016079	"synaptic vesicle exocytosis"	16079	NaN	1.845098040014257	0.3331080428695568	0.8353050934295467	0.96269971	7268
GO:0016082	"synaptic vesicle priming"	16082	NaN	1.3424226808222062	0.10138070869943033	0.8082138816260276	0.86911741	7268
GO:0031629	"synaptic vesicle fusion to presynaptic active zone membrane"	31629	NaN	1.1760912590556813	0.06758713913295356	0.8089681425079944	0.84124443	7268
GO:0048791	"calcium ion-regulated exocytosis of neurotransmitter"	48791	NaN	1.3979400086720377	0.11586366708506324	0.8487046399370108	0.87870555	7268
GO:0051932	"synaptic transmission, GABAergic"	51932	NaN	1.5314789170422551	0.15931254224196195	0.9409693656576501	0.74850166	7268
GO:0098916	"anterograde trans-synaptic signaling"	98916	NaN	2.5921767573958667	1.8827845901322777	0.9252445031436352	0.96982182	7268
GO:0099536	"synaptic signaling"	99536	NaN	2.662757831681574	2.2158926330018347	0.927627965518134	0.76268539	7268
GO:0099537	"trans-synaptic signaling"	99537	NaN	2.61066016308988	1.9648546876508644	0.9252884123471032	0.94280432	7268
GO:0099643	"signal release from synapse"	99643	NaN	2	0.47793762672588586	0.8563152522321164	0.84241409	7268
GO:0007272	"ensheathment of neurons"	NaN	2.1492191126553797	0.6758713913295356	0.935355857962465	0.39092555	null
GO:0007420	"brain development"	NaN	2.888179493918325	3.7269479579028673	0.928906350491784	0.48459599	null
GO:0007409	"axonogenesis"	7409	NaN	2.6190933306267428	2.003475910012552	0.8630277243670252	0.93286285	7420
GO:0007411	"axon guidance"	7411	NaN	2.423245873936808	1.2745003379356956	0.8696780953026215	0.88001209	7420
GO:0007417	"central nervous system development"	7417	NaN	3.0111473607757975	4.948344115091243	0.9305561502125154	0.6378334	7420
GO:0010001	"glial cell differentiation"	10001	NaN	2.406540180433955	1.226223809983586	0.9213249842189651	0.52213038	7420
GO:0014037	"Schwann cell differentiation"	14037	NaN	1.7160033436347992	0.2462102925557594	0.9319885201402017	0.90948258	7420
GO:0014044	"Schwann cell development"	14044	NaN	1.6720978579357175	0.22207202857970457	0.9316933138254236	0.78374118	7420
GO:0016358	"dendrite development"	16358	NaN	2.1760912590556813	0.7193202664864343	0.8820957537939706	0.67281121	7420
GO:0021543	"pallium development"	21543	NaN	2.3242824552976926	1.0138070869943032	0.9378400237744854	0.78404462	7420
GO:0021761	"limbic system development"	21761	NaN	2.146128035678238	0.6710437385343246	0.9406543733728047	0.74503619	7420
GO:0021766	"hippocampus development"	21766	NaN	2.03342375548695	0.5165588490875737	0.9420467083815269	0.83912965	7420
GO:0021782	"glial cell development"	21782	NaN	2.155336037465062	0.6855266969199575	0.9248295518131542	0.87788278	7420
GO:0021879	"forebrain neuron differentiation"	21879	NaN	1.6901960800285136	0.23172733417012648	0.9300491740480803	0.66037428	7420
GO:0021884	"forebrain neuron development"	21884	NaN	1.4913616938342726	0.14482958385632905	0.9309650103053687	0.91934304	7420
GO:0021953	"central nervous system neuron differentiation"	21953	NaN	2.3096301674258988	0.9800135174278265	0.9222477285328441	0.72201793	7420
GO:0021954	"central nervous system neuron development"	21954	NaN	1.9912260756924949	0.468282321135464	0.924643930250764	0.80131966	7420
GO:0022008	"neurogenesis"	22008	NaN	3.180412632838324	7.309066331949405	0.9118089690874929	0.71424467	7420
GO:0022011	"myelination in peripheral nervous system"	22011	NaN	1.5314789170422551	0.15931254224196195	0.9290875429203764	0.95474175	7420
GO:0030182	"neuron differentiation"	30182	NaN	3.0870712059065353	5.894564062952592	0.9069493590049958	0.88109842	7420
GO:0030900	"forebrain development"	30900	NaN	2.6693168805661123	2.249686202568311	0.9330283927292392	0.87226432	7420
GO:0031175	"neuron projection development"	31175	NaN	2.905256048748451	3.8766051945544078	0.8586980630691923	0.83604654	7420
GO:0042063	"gliogenesis"	42063	NaN	2.5010592622177517	1.525538283286666	0.922692605005623	0.56496512	7420
GO:0048666	"neuron development"	48666	NaN	2.9934362304976116	4.750410350487593	0.9078695189564856	0.8461785	7420
GO:0048667	"cell morphogenesis involved in neuron differentiation"	48667	NaN	2.7134905430939424	2.4910688423288594	0.9077079755766605	0.61581178	7420
GO:0048699	"generation of neurons"	48699	NaN	3.116275587580544	6.304914550545525	0.9077411792109571	0.75115649	7420
GO:0048709	"oligodendrocyte differentiation"	48709	NaN	2.0086001717619175	0.4875929323163078	0.9258645869646439	0.84712592	7420
GO:0048812	"neuron projection morphogenesis"	48812	NaN	2.7442929831226763	2.6745196485468763	0.8585327304284422	0.85655618	7420
GO:0048858	"cell projection morphogenesis"	48858	NaN	2.7551122663950713	2.74210678767983	0.8872650349321707	0.91340509	7420
GO:0061564	"axon development"	61564	NaN	2.677606952720493	2.2931350777252097	0.866406987585626	0.77726575	7420
GO:0097485	"neuron projection guidance"	97485	NaN	2.423245873936808	1.2745003379356956	0.8697817336897395	0.88001209	7420
GO:0120036	"plasma membrane bounded cell projection organization"	120036	NaN	3.1007150865730817	6.08284252196582	0.9141318925507929	0.8538298	7420
GO:0120039	"plasma membrane bounded cell projection morphogenesis"	120039	NaN	2.7489628612561616	2.703485565318142	0.8868169356441457	0.96731512	7420
GO:0007610	"behavior"	NaN	2.887617300335736	3.722120305107657	0.978870776293485	0.14178804	null
GO:0008152	"metabolic process"	NaN	3.8860392755664424	37.129477647967555	1	0	null
GO:0008219	"cell death"	NaN	3.037027879755775	5.2524862411895334	0.9855311761762312	0.02025509	null
GO:0008283	"cell population proliferation"	NaN	2.9449759084120477	4.248334459785652	0.9859245828918938	0.0179473	null
GO:0008285	"negative regulation of cell population proliferation"	NaN	2.8444771757456815	3.369701651057256	0.9371513170403899	0.07082279	null
GO:0008284	"positive regulation of cell population proliferation"	8284	NaN	3.0178677189635055	5.025586559814618	0.9256288361185526	0.71032383	8285
GO:0008643	"carbohydrate transport"	NaN	1.863322860120456	0.34759100125518977	0.9183747230806981	0.26999499	null
GO:0009056	"catabolic process"	NaN	3.284205067701794	9.283576325190692	0.9336197743439651	0.25265089	null
GO:0009057	"macromolecule catabolic process"	NaN	2.989894563718773	4.711789128125905	0.8907886775312327	0.24321474	null
GO:0000045	"autophagosome assembly"	45	NaN	1.8750612633917	0.35724630684561165	0.845123091885293	0.84743987	9057
GO:0000422	"autophagy of mitochondrion"	422	NaN	1.5314789170422551	0.15931254224196195	0.8559603860076291	0.78342307	9057
GO:0006096	"glycolytic process"	6096	NaN	1.7160033436347992	0.2462102925557594	0.79496293887615	0.91971468	9057
GO:0006195	"purine nucleotide catabolic process"	6195	NaN	2.0569048513364727	0.5455247658588395	0.8143246553037399	0.97553401	9057
GO:0006511	"ubiquitin-dependent protein catabolic process"	6511	NaN	2.682145076373832	2.3172733417012648	0.8819296050086788	0.88203543	9057
GO:0006914	"autophagy"	6914	NaN	2.4727564493172123	1.4289852273824466	0.885393696493473	0.59048853	9057
GO:0009154	"purine ribonucleotide catabolic process"	9154	NaN	2.0086001717619175	0.4875929323163078	0.813271139467267	0.89707906	9057
GO:0009166	"nucleotide catabolic process"	9166	NaN	2.12057393120585	0.6324225161726369	0.8158594998603297	0.95708122	9057
GO:0009264	"deoxyribonucleotide catabolic process"	9264	NaN	1.4471580313422192	0.13034662547069614	0.836251048268971	0.73716465	9057
GO:0010498	"proteasomal protein catabolic process"	10498	NaN	2.576341350205793	1.815197450999324	0.8852983585108177	0.851761	9057
GO:0016236	"macroautophagy"	16236	NaN	2.2695129442179165	0.8931157671140291	0.8908396309015512	0.93404096	9057
GO:0019439	"aromatic compound catabolic process"	19439	NaN	2.5854607295085006	1.8538186733610118	0.8668799049391154	0.69513853	9057
GO:0019941	"modification-dependent protein catabolic process"	19941	NaN	2.69284691927723	2.3752051752437966	0.881609967671165	0.96732243	9057
GO:0030163	"protein catabolic process"	30163	NaN	2.870403905279027	3.5772907212513276	0.8770061927221827	0.84845428	9057
GO:0034655	"nucleobase-containing compound catabolic process"	34655	NaN	2.510545010206612	1.5593318528531428	0.856281616183208	0.6639711	9057
GO:0043161	"proteasome-mediated ubiquitin-dependent protein catabolic process"	43161	NaN	2.469822015978163	1.4193299217920248	0.8881125239301231	0.91056333	9057
GO:0043632	"modification-dependent macromolecule catabolic process"	43632	NaN	2.7015679850559273	2.423481703195906	0.8967970859837747	0.69019517	9057
GO:0044248	"cellular catabolic process"	44248	NaN	3.037027879755775	5.2524862411895334	0.8779133637451294	0.7862353	9057
GO:0044270	"cellular nitrogen compound catabolic process"	44270	NaN	2.5575072019056577	1.7379550062759486	0.8666176430611294	0.68959755	9057
GO:0044282	"small molecule catabolic process"	44282	NaN	2.531478917042255	1.6365742975765183	0.8643221889706507	0.60166291	9057
GO:0046434	"organophosphate catabolic process"	46434	NaN	2.287801729930226	0.9317369894757168	0.8518812809056521	0.60485481	9057
GO:0046700	"heterocycle catabolic process"	46700	NaN	2.561101383649056	1.7524379646615815	0.8671402631664106	0.6804827	9057
GO:0051603	"proteolysis involved in protein catabolic process"	51603	NaN	2.7831886910752575	2.925557593897847	0.8792740956896896	0.80289382	9057
GO:0061723	"glycophagy"	61723	NaN	1.1139433523068367	0.05793183354253162	0.914140935064044	0.71569784	9057
GO:0072523	"purine-containing compound catabolic process"	72523	NaN	2.0755469613925306	0.5696630298348943	0.8556474895036871	0.85370766	9057
GO:1901292	"nucleoside phosphate catabolic process"	1901292	NaN	2.146128035678238	0.6710437385343246	0.8158919979682662	0.86896441	9057
GO:1901361	"organic cyclic compound catabolic process"	1901361	NaN	2.6148972160331345	1.9841652988317078	0.8844033214817634	0.67040416	9057
GO:1901565	"organonitrogen compound catabolic process"	1901565	NaN	3.0511525224473814	5.426281741817129	0.8771966590277606	0.79092932	9057
GO:1901575	"organic substance catabolic process"	1901575	NaN	3.2140486794119414	7.898039972965145	0.8893395270900515	0.77096591	9057
GO:1905037	"autophagosome organization"	1905037	NaN	1.919078092376074	0.39586752920729945	0.8522257932383482	0.85633484	9057
GO:0009653	"anatomical structure morphogenesis"	NaN	3.379305517750582	11.55740079173506	0.9551024064364748	0.363061	null
GO:0009719	"response to endogenous stimulus"	NaN	3.1646502159342966	7.048373081008013	0.9879690413891815	0.13656589	null
GO:0009894	"regulation of catabolic process"	NaN	2.9800033715837464	4.605580766631264	0.9392140089313417	0.23445876	null
GO:0009914	"hormone transport"	NaN	2.0718820073061255	0.5648353770396833	0.8654018128554395	0.3519217	null
GO:0009987	"cellular process"	NaN	4.2026789942277265	76.9817514724341	1	0	null
GO:0010033	"response to organic substance"	NaN	3.458033192496506	13.855363522255479	0.9770572442528401	0.4907157	null
GO:0070887	"cellular response to chemical stimulus"	70887	NaN	3.397418542351348	12.049821376846577	0.9605333313198534	0.53782831	10033
GO:0010256	"endomembrane system organization"	NaN	2.710963118995276	2.4765858839432267	0.9384575051201479	0.23869049	null
GO:0010257	"NADH dehydrogenase complex assembly"	NaN	1.7781512503836436	0.2848315149174471	0.9370107792259603	0.39676593	null
GO:0010646	"regulation of cell communication"	NaN	3.534026106056135	16.5057449068263	0.9477261431934605	0.11669519	null
GO:0010817	"regulation of hormone levels"	NaN	2.8048206787211623	3.075214830549387	0.9328387007888278	0.46725588	null
GO:0010821	"regulation of mitochondrion organization"	NaN	2.1271047983648077	0.6420778217630588	0.9154748449946066	0.38898331	null
GO:0010638	"positive regulation of organelle organization"	10638	NaN	2.710963118995276	2.4765858839432267	0.8784966037999639	0.73285315	10821
GO:0051493	"regulation of cytoskeleton organization"	51493	NaN	2.7218106152125467	2.5393453702809694	0.9023000846423131	0.61942079	10821
GO:0014060	"regulation of epinephrine secretion"	NaN	0.9542425094393249	0.038621222361687746	0.9173616833866657	0.2836589	null
GO:0017158	"regulation of calcium ion-dependent exocytosis"	17158	NaN	1.7075701760979363	0.2413826397605484	0.898264088553187	0.82770658	14060
GO:0030100	"regulation of endocytosis"	30100	NaN	2.505149978319906	1.540021241672299	0.8446200702360211	0.7653846	14060
GO:0045807	"positive regulation of endocytosis"	45807	NaN	2.278753600952829	0.912426378294873	0.8312573519103001	0.78361788	14060
GO:0048549	"positive regulation of pinocytosis"	48549	NaN	0.9542425094393249	0.038621222361687746	0.871483534341723	0.5444274	14060
GO:1903305	"regulation of regulated secretory pathway"	1903305	NaN	2.187520720836463	0.7386308776672782	0.8874704880295352	0.50193011	14060
GO:1903306	"negative regulation of regulated secretory pathway"	1903306	NaN	1.414973347970818	0.1206913198802742	0.8892345240920523	0.77836606	14060
GO:2000301	"negative regulation of synaptic vesicle exocytosis"	2000301	NaN	0.7781512503836436	0.02413826397605484	0.8878047431954867	0.84312296	14060
GO:0014070	"response to organic cyclic compound"	NaN	2.966610986681934	4.465578835570145	0.9771120291388917	0.22572178	null
GO:0015833	"peptide transport"	NaN	2.0718820073061255	0.5648353770396833	0.9093800644505727	0.47908787	null
GO:0002790	"peptide secretion"	2790	NaN	1.9637878273455553	0.4393164043641981	0.8983172409102784	0.94339978	15833
GO:0030072	"peptide hormone secretion"	30072	NaN	1.9395192526186185	0.41517814038814327	0.8226422627278406	0.90778635	15833
GO:0030073	"insulin secretion"	30073	NaN	1.792391689498254	0.29448682050786906	0.814120376898496	0.95542861	15833
GO:0035773	"insulin secretion involved in cellular response to glucose stimulus"	35773	NaN	1.1760912590556813	0.06758713913295356	0.7996993468501319	0.77570004	15833
GO:0046879	"hormone secretion"	46879	NaN	2.0293837776852097	0.5117311962923626	0.8281273959354233	0.95677825	15833
GO:0016050	"vesicle organization"	NaN	2.519827993775719	1.5931254224196194	0.9298470025778104	0.36623717	null
GO:0016477	"cell migration"	NaN	2.975431808509263	4.557304238679154	0.980889436519364	0.01941633	null
GO:0001667	"ameboidal-type cell migration"	1667	NaN	2.3483048630481607	1.071738920536835	0.9833497181467171	0.71728104	16477
GO:0010631	"epithelial cell migration"	10631	NaN	2.0530784434834195	0.5406971130636284	0.9656217500685756	0.65821527	16477
GO:0043542	"endothelial cell migration"	43542	NaN	1.8920946026904804	0.3717292652312446	0.9667862123320544	0.95513307	16477
GO:0090132	"epithelium migration"	90132	NaN	2.0644579892269186	0.5551800714492614	0.9781478895682691	0.98030543	16477
GO:0090521	"podocyte cell migration"	90521	NaN	0.9542425094393249	0.038621222361687746	0.9724764116725252	0.78977353	16477
GO:0016482	"cytosolic transport"	NaN	2.0492180226701815	0.5358694602684175	0.894205157030087	0.37518104	null
GO:0006886	"intracellular protein transport"	6886	NaN	2.7323937598229686	2.602104856618712	0.8600175360736676	0.67090479	16482
GO:0006888	"endoplasmic reticulum to Golgi vesicle-mediated transport"	6888	NaN	2.0791812460476247	0.5744906826301052	0.8854798427327172	0.55415434	16482
GO:0016197	"endosomal transport"	16197	NaN	2.387389826338729	1.1731196292362653	0.8777068984815544	0.59769854	16482
GO:0030705	"cytoskeleton-dependent intracellular transport"	30705	NaN	2.303196057420489	0.9655305590421936	0.8879548706120227	0.55024671	16482
GO:0046907	"intracellular transport"	46907	NaN	3.0670708560453703	5.629043159215989	0.8671520250034274	0.70822177	16482
GO:0090114	"COPII-coated vesicle budding"	90114	NaN	1.568201724066995	0.17379550062759488	0.8475158254968007	0.745379	16482
GO:0018107	"peptidyl-threonine phosphorylation"	NaN	1.380211241711606	0.11103601428985228	0.8994553135183485	0.33751832	null
GO:0019226	"transmission of nerve impulse"	NaN	1.9590413923210936	0.43448875156898714	0.9591859113431375	0.37068147	null
GO:0019233	"sensory perception of pain"	NaN	1.9344984512435677	0.4103504875929323	0.9791545643962867	0.33544146	null
GO:0019682	"glyceraldehyde-3-phosphate metabolic process"	NaN	1.3010299956639813	0.0917254031090084	0.8935601195120689	0.46321077	null
GO:0019692	"deoxyribose phosphate metabolic process"	NaN	1.6720978579357175	0.22207202857970457	0.8860987938503344	0.49839202	null
GO:0006796	"phosphate-containing compound metabolic process"	6796	NaN	3.193958978019187	7.540793666119533	0.8612447177062491	0.83144574	19692
GO:0016310	"phosphorylation"	16310	NaN	2.826722520168992	3.234527372791349	0.8744690326552703	0.50096892	19692
GO:0019637	"organophosphate metabolic process"	19637	NaN	2.960470777534299	4.402819349232403	0.868359290246663	0.72406857	19692
GO:0019725	"cellular homeostasis"	NaN	2.8530895298518657	3.4372887901902094	0.978307625308416	0	null
GO:0001678	"intracellular glucose homeostasis"	1678	NaN	2.0644579892269186	0.5551800714492614	0.9767844420038746	0.91368264	19725
GO:0006873	"intracellular monoatomic ion homeostasis"	6873	NaN	2.667452952889954	2.2400308969778893	0.9734050059701972	0.95064141	19725
GO:0006874	"intracellular calcium ion homeostasis"	6874	NaN	2.359835482339888	1.1007048373081008	0.9745968641809741	0.89141547	19725
GO:0030003	"intracellular monoatomic cation homeostasis"	30003	NaN	2.6570558528571038	2.186926716230569	0.973250021628398	0.88489112	19725
GO:0033500	"carbohydrate homeostasis"	33500	NaN	2.3783979009481375	1.1489813652602103	0.9777077205524171	0.65915577	19725
GO:0042593	"glucose homeostasis"	42593	NaN	2.376576957056512	1.1441537124649994	0.976611525096512	0.61550596	19725
