TermID	Name	Value	LogSize	Frequency	Uniqueness	Dispensability	Representative
GO:0000302	"response to reactive oxygen species"	NaN	2.287801729930226	0.9317369894757168	0.9606618087423677	0.34860999	null
GO:0006814	"sodium ion transport"	6814	NaN	2.3242824552976926	1.0138070869943032	0.8847691172426501	0.77397246	6820
GO:0006816	"calcium ion transport"	6816	NaN	2.429752280002408	1.2938109491165395	0.8819081226273022	0.79827477	6820
GO:0006821	"chloride transport"	6821	NaN	2.1271047983648077	0.6420778217630588	0.8884507572433656	0.94067913	6820
GO:0030001	"metal ion transport"	30001	NaN	2.8318697742805017	3.2731485951530366	0.8703468228060238	0.70306772	6820
GO:0034220	"monoatomic ion transmembrane transport"	34220	NaN	2.9190780923760737	4.002124167229893	0.8523923085168655	0.89868486	6820
GO:0035725	"sodium ion transmembrane transport"	35725	NaN	2.24551266781415	0.8448392391619195	0.8713383302730185	0.77504494	6820
GO:0070588	"calcium ion transmembrane transport"	70588	NaN	2.342422680822206	1.057255962151202	0.8681775628832016	0.79680579	6820
GO:0071805	"potassium ion transmembrane transport"	71805	NaN	2.2430380486862944	0.8400115863667086	0.8718216029159909	0.7745045	6820
GO:0097553	"calcium ion transmembrane import into cytosol"	97553	NaN	1.99563519459755	0.47310997393067494	0.8778540553389811	0.86666449	6820
GO:0098655	"monoatomic cation transmembrane transport"	98655	NaN	2.846337112129805	3.384184609442889	0.8538519615074079	0.91106012	6820
GO:0098656	"monoatomic anion transmembrane transport"	98656	NaN	2.167317334748176	0.7048373081008014	0.8747707037577039	0.95603791	6820
GO:0098660	"inorganic ion transmembrane transport"	98660	NaN	2.8819549713396007	3.673843777155547	0.8608020133248523	0.77396754	6820
GO:0098661	"inorganic anion transmembrane transport"	98661	NaN	2.1583624920952498	0.6903543497151685	0.8785183956159425	0.95160894	6820
GO:0098662	"inorganic cation transmembrane transport"	98662	NaN	2.823474229170301	3.210389108815294	0.860012175385528	0.74384189	6820
GO:1902476	"chloride transmembrane transport"	1902476	NaN	2.0969100130080562	0.5986289466061601	0.8748404739141304	0.58289113	6820
GO:1902600	"proton transmembrane transport"	1902600	NaN	2.1522883443830563	0.6806990441247466	0.8746615865302454	0.7551804	6820
GO:0006836	"neurotransmitter transport"	NaN	2.155336037465062	0.6855266969199575	0.90183606787431	0.24637245	null
GO:0006839	"mitochondrial transport"	NaN	2.2355284469075487	0.8255286279810756	0.9000511130036684	0.29920132	null
GO:0006890	"retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum"	NaN	1.6127838567197355	0.19310611180843873	0.887226242601662	0.25586629	null
GO:0006888	"endoplasmic reticulum to Golgi vesicle-mediated transport"	6888	NaN	2.0791812460476247	0.5744906826301052	0.8607013940785531	0.81150533	6890
GO:0006892	"post-Golgi vesicle-mediated transport"	6892	NaN	1.968482948553935	0.44414405715940913	0.8787835951223856	0.73566924	6890
GO:0006893	"Golgi to plasma membrane transport"	6893	NaN	1.7160033436347992	0.2462102925557594	0.8695976290568067	0.75131486	6890
GO:0032456	"endocytic recycling"	32456	NaN	1.8976270912904414	0.3765569180264555	0.8587648362119039	0.86039619	6890
GO:0043001	"Golgi to plasma membrane protein transport"	43001	NaN	1.505149978319906	0.14965723665154002	0.8618897760117845	0.86205442	6890
GO:0006935	"chemotaxis"	NaN	2.5415792439465807	1.6751955199382063	0.967076645490627	0.48831361	null
GO:0042330	"taxis"	42330	NaN	2.545307116465824	1.689678478323839	0.9794157512885494	0.96085786	6935
GO:0006979	"response to oxidative stress"	NaN	2.57978359661681	1.829680409384957	0.9783279981000252	0.09834368	null
GO:0007005	"mitochondrion organization"	NaN	2.6414741105040997	2.1096842715071933	0.9271924812506079	0.40535079	null
GO:0007010	"cytoskeleton organization"	NaN	3.1061908972634154	6.160084966689196	0.9177126117172778	0.4878391	null
GO:0007017	"microtubule-based process"	NaN	2.94546858513182	4.253162112580863	0.9867488732252557	0.01795034	null
GO:0007018	"microtubule-based movement"	NaN	2.6314437690131722	2.0614077435550837	0.9742119629059552	0.01590837	null
GO:0000132	"establishment of mitotic spindle orientation"	132	NaN	1.568201724066995	0.17379550062759488	0.8291206159949279	0.9486145	7018
GO:0000226	"microtubule cytoskeleton organization"	226	NaN	2.7752462597402365	2.872453413150526	0.9092653551943165	0.81359018	7018
GO:0008088	"axo-dendritic transport"	8088	NaN	1.919078092376074	0.39586752920729945	0.8696785321466547	0.88983582	7018
GO:0008090	"retrograde axonal transport"	8090	NaN	1.3617278360175928	0.10620836149464132	0.8831033862113077	0.87052174	7018
GO:0010970	"transport along microtubule"	10970	NaN	2.2355284469075487	0.8255286279810756	0.8607255104690921	0.69669872	7018
GO:0031109	"microtubule polymerization or depolymerization"	31109	NaN	1.8195439355418688	0.31379743168871294	0.9265193368955232	0.62683525	7018
GO:0051293	"establishment of spindle localization"	51293	NaN	1.7634279935629373	0.2751762093270252	0.8240801522532238	0.61841513	7018
GO:0072384	"organelle transport along microtubule"	72384	NaN	1.8976270912904414	0.3765569180264555	0.8611501477086669	0.88554812	7018
GO:0098930	"axonal transport"	98930	NaN	1.7993405494535817	0.29931447330308003	0.8726022954457385	0.86638401	7018
GO:0007033	"vacuole organization"	NaN	2.271841606536499	0.8979434199092402	0.9333200986899874	0.33462609	null
GO:0007040	"lysosome organization"	NaN	2	0.47793762672588586	0.9323992393272965	0.31417636	null
GO:0000045	"autophagosome assembly"	45	NaN	1.8750612633917	0.35724630684561165	0.8689923138490789	0.85088782	7040
GO:0080171	"lytic vacuole organization"	80171	NaN	2	0.47793762672588586	0.9326179552154221	0.87406154	7040
GO:0090385	"phagosome-lysosome fusion"	90385	NaN	1.2304489213782739	0.07724244472337549	0.8340321242900202	0.85022427	7040
GO:1905037	"autophagosome organization"	1905037	NaN	1.919078092376074	0.39586752920729945	0.875234472473965	0.85891953	7040
GO:0007155	"cell adhesion"	NaN	2.964259630196849	4.441440571594091	0.9866776908698731	0.0192025	null
GO:0007157	"heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules"	NaN	1.7558748556724915	0.2703485565318142	0.9864242243653545	0.01056662	null
GO:0007160	"cell-matrix adhesion"	7160	NaN	2.100370545117563	0.603456599401371	0.9854215667281528	0.60556308	7157
GO:0031589	"cell-substrate adhesion"	31589	NaN	2.2695129442179165	0.8931157671140291	0.9848811060289377	0.55982657	7157
GO:0098609	"cell-cell adhesion"	98609	NaN	2.7427251313046983	2.6648643429564545	0.9831746143370801	0.71336348	7157
GO:0007163	"establishment or maintenance of cell polarity"	NaN	2.3344537511509307	1.0379453509703582	0.9887078230826424	0.01198076	null
GO:0007265	"Ras protein signal transduction"	NaN	1.8976270912904414	0.3765569180264555	0.9335490703636526	0.49599458	null
GO:0007264	"small GTPase-mediated signal transduction"	7264	NaN	2.3944516808262164	1.1924302404171092	0.9256266510476738	0.67778431	7265
GO:0019722	"calcium-mediated signaling"	19722	NaN	2.24551266781415	0.8448392391619195	0.9281861477665122	0.60234055	7265
GO:0007267	"cell-cell signaling"	NaN	2.967547976218862	4.475234141160567	0.9385171339701928	0.19191055	null
GO:0007268	"chemical synaptic transmission"	NaN	2.5921767573958667	1.8827845901322777	0.9275054463812868	0.25364664	null
GO:0007269	"neurotransmitter secretion"	7269	NaN	2	0.47793762672588586	0.8215686661241527	0.83677186	7268
GO:0016079	"synaptic vesicle exocytosis"	16079	NaN	1.845098040014257	0.3331080428695568	0.8137791514962219	0.96269971	7268
GO:0016082	"synaptic vesicle priming"	16082	NaN	1.3424226808222062	0.10138070869943033	0.7895361238522575	0.86911741	7268
GO:0031629	"synaptic vesicle fusion to presynaptic active zone membrane"	31629	NaN	1.1760912590556813	0.06758713913295356	0.7880033524150074	0.84124443	7268
GO:0035249	"synaptic transmission, glutamatergic"	35249	NaN	1.7781512503836436	0.2848315149174471	0.9395499760820316	0.79272846	7268
GO:0048791	"calcium ion-regulated exocytosis of neurotransmitter"	48791	NaN	1.3979400086720377	0.11586366708506324	0.8288895253656826	0.87870555	7268
GO:0098916	"anterograde trans-synaptic signaling"	98916	NaN	2.5921767573958667	1.8827845901322777	0.9276491804427236	0.96982182	7268
GO:0099536	"synaptic signaling"	99536	NaN	2.662757831681574	2.2158926330018347	0.9304850133194827	0.76268539	7268
GO:0099537	"trans-synaptic signaling"	99537	NaN	2.61066016308988	1.9648546876508644	0.9277982280007846	0.94280432	7268
GO:0099643	"signal release from synapse"	99643	NaN	2	0.47793762672588586	0.8395688958378451	0.84241409	7268
GO:0007272	"ensheathment of neurons"	NaN	2.1492191126553797	0.6758713913295356	0.9410748943250843	0.38139373	null
GO:0007420	"brain development"	NaN	2.888179493918325	3.7269479579028673	0.9363621353434028	0.48459599	null
GO:0007409	"axonogenesis"	7409	NaN	2.6190933306267428	2.003475910012552	0.8741352903761256	0.93286285	7420
GO:0007411	"axon guidance"	7411	NaN	2.423245873936808	1.2745003379356956	0.8800310446657147	0.88001209	7420
GO:0007417	"central nervous system development"	7417	NaN	3.0111473607757975	4.948344115091243	0.9379650600893289	0.6378334	7420
GO:0010001	"glial cell differentiation"	10001	NaN	2.406540180433955	1.226223809983586	0.9295171080797963	0.52213038	7420
GO:0014037	"Schwann cell differentiation"	14037	NaN	1.7160033436347992	0.2462102925557594	0.9386540553588663	0.90948258	7420
GO:0014044	"Schwann cell development"	14044	NaN	1.6720978579357175	0.22207202857970457	0.9387213780124591	0.78374118	7420
GO:0016358	"dendrite development"	16358	NaN	2.1760912590556813	0.7193202664864343	0.8918643637553529	0.67281121	7420
GO:0021537	"telencephalon development"	21537	NaN	2.494154594018443	1.5014000193106112	0.9420053467955211	0.82515952	7420
GO:0021543	"pallium development"	21543	NaN	2.3242824552976926	1.0138070869943032	0.9441882634856275	0.84389554	7420
GO:0021782	"glial cell development"	21782	NaN	2.155336037465062	0.6855266969199575	0.932957132963927	0.87788278	7420
GO:0021953	"central nervous system neuron differentiation"	21953	NaN	2.3096301674258988	0.9800135174278265	0.9296100831520314	0.72201793	7420
GO:0021954	"central nervous system neuron development"	21954	NaN	1.9912260756924949	0.468282321135464	0.9329870055642879	0.66040001	7420
GO:0021987	"cerebral cortex development"	21987	NaN	2.130333768495006	0.6469054745582697	0.9466769458608001	0.858732	7420
GO:0022008	"neurogenesis"	22008	NaN	3.180412632838324	7.309066331949405	0.9221762347746955	0.71424467	7420
GO:0022011	"myelination in peripheral nervous system"	22011	NaN	1.5314789170422551	0.15931254224196195	0.9363384884860896	0.95474175	7420
GO:0030182	"neuron differentiation"	30182	NaN	3.0870712059065353	5.894564062952592	0.9170840323803446	0.88109842	7420
GO:0030900	"forebrain development"	30900	NaN	2.6693168805661123	2.249686202568311	0.9398668737576404	0.87226432	7420
GO:0031175	"neuron projection development"	31175	NaN	2.905256048748451	3.8766051945544078	0.8713604015639077	0.83604654	7420
GO:0042063	"gliogenesis"	42063	NaN	2.5010592622177517	1.525538283286666	0.9306889178266943	0.56496512	7420
GO:0048666	"neuron development"	48666	NaN	2.9934362304976116	4.750410350487593	0.9182646887842915	0.8461785	7420
GO:0048667	"cell morphogenesis involved in neuron differentiation"	48667	NaN	2.7134905430939424	2.4910688423288594	0.9174013185913625	0.61581178	7420
GO:0048699	"generation of neurons"	48699	NaN	3.116275587580544	6.304914550545525	0.9179689623760887	0.75115649	7420
GO:0048812	"neuron projection morphogenesis"	48812	NaN	2.7442929831226763	2.6745196485468763	0.8702596088535798	0.85655618	7420
GO:0048854	"brain morphogenesis"	48854	NaN	1.662757831681574	0.21724437578449357	0.9501605221348958	0.65585062	7420
GO:0048858	"cell projection morphogenesis"	48858	NaN	2.7551122663950713	2.74210678767983	0.8975010087984524	0.91340509	7420
GO:0061564	"axon development"	61564	NaN	2.677606952720493	2.2931350777252097	0.877874217607886	0.77726575	7420
GO:0097485	"neuron projection guidance"	97485	NaN	2.423245873936808	1.2745003379356956	0.8802936113505859	0.88001209	7420
GO:0120036	"plasma membrane bounded cell projection organization"	120036	NaN	3.1007150865730817	6.08284252196582	0.91489353581492	0.8538298	7420
GO:0120039	"plasma membrane bounded cell projection morphogenesis"	120039	NaN	2.7489628612561616	2.703485565318142	0.8968799613596715	0.96731512	7420
GO:0007422	"peripheral nervous system development"	NaN	1.919078092376074	0.39586752920729945	0.9530074610329388	0.18256798	null
GO:0007610	"behavior"	NaN	2.887617300335736	3.722120305107657	0.978481209619601	0	null
GO:0009057	"macromolecule catabolic process"	NaN	2.989894563718773	4.711789128125905	0.9238281583732295	0.23676382	null
GO:0000422	"autophagy of mitochondrion"	422	NaN	1.5314789170422551	0.15931254224196195	0.8817281434975787	0.78342307	9057
GO:0006511	"ubiquitin-dependent protein catabolic process"	6511	NaN	2.682145076373832	2.3172733417012648	0.9133721713737478	0.88203543	9057
GO:0006914	"autophagy"	6914	NaN	2.4727564493172123	1.4289852273824466	0.9172391392205248	0.59048853	9057
GO:0010498	"proteasomal protein catabolic process"	10498	NaN	2.576341350205793	1.815197450999324	0.9159032385479848	0.851761	9057
GO:0016236	"macroautophagy"	16236	NaN	2.2695129442179165	0.8931157671140291	0.921129016830015	0.93404096	9057
GO:0019941	"modification-dependent protein catabolic process"	19941	NaN	2.69284691927723	2.3752051752437966	0.9131432642243027	0.96732243	9057
GO:0030163	"protein catabolic process"	30163	NaN	2.870403905279027	3.5772907212513276	0.9106851079411884	0.84845428	9057
GO:0035973	"aggrephagy"	35973	NaN	1.0413926851582251	0.04827652795210968	0.9383548760959399	0.70471794	9057
GO:0043161	"proteasome-mediated ubiquitin-dependent protein catabolic process"	43161	NaN	2.469822015978163	1.4193299217920248	0.9174727003568096	0.91056333	9057
GO:0043632	"modification-dependent macromolecule catabolic process"	43632	NaN	2.7015679850559273	2.423481703195906	0.9271712016923408	0.69019517	9057
GO:0044248	"cellular catabolic process"	44248	NaN	3.037027879755775	5.2524862411895334	0.9115350718505609	0.71856512	9057
GO:0051603	"proteolysis involved in protein catabolic process"	51603	NaN	2.7831886910752575	2.925557593897847	0.9118274676154499	0.80289382	9057
GO:1901565	"organonitrogen compound catabolic process"	1901565	NaN	3.0511525224473814	5.426281741817129	0.9127116239711274	0.78339828	9057
GO:0009266	"response to temperature stimulus"	NaN	2.2380461031287955	0.8303562807762865	0.982501114542833	0	null
GO:0009409	"response to cold"	9409	NaN	1.7075701760979363	0.2413826397605484	0.9782495257107104	0.50412335	9266
GO:0009612	"response to mechanical stimulus"	9612	NaN	2.374748346010104	1.1393260596697885	0.977181437789411	0.58855241	9266
GO:0034605	"cellular response to heat"	34605	NaN	1.7323937598229686	0.2558655981461813	0.9641391126940985	0.79222357	9266
GO:0071214	"cellular response to abiotic stimulus"	71214	NaN	2.4885507165004443	1.4820894081297673	0.967108992615585	0.62780662	9266
GO:0009308	"amine metabolic process"	NaN	2.0293837776852097	0.5117311962923626	0.946961017214624	0.18944717	null
GO:0009410	"response to xenobiotic stimulus"	NaN	2.6693168805661123	2.249686202568311	0.9717935931936165	0.26604984	null
GO:0009438	"methylglyoxal metabolic process"	NaN	0.9542425094393249	0.038621222361687746	0.9329535090887735	0.35568683	null
GO:0009628	"response to abiotic stimulus"	NaN	3.062581984228163	5.571111325673458	0.9831573031638084	0.13178914	null
GO:0009636	"response to toxic substance"	NaN	2.3729120029701067	1.1344984068745776	0.9738914610540431	0.17840067	null
GO:0009719	"response to endogenous stimulus"	NaN	3.1646502159342966	7.048373081008013	0.9826209571624381	0.15607498	null
GO:0009894	"regulation of catabolic process"	NaN	2.9800033715837464	4.605580766631264	0.9423377974575939	0.20932073	null
GO:0009914	"hormone transport"	NaN	2.0718820073061255	0.5648353770396833	0.8526356676579342	0.34785893	null
GO:0010035	"response to inorganic substance"	NaN	2.749736315569061	2.7083132181133536	0.9711662887583066	0.29731992	null
GO:0010040	"response to iron(II) ion"	NaN	0.9542425094393249	0.038621222361687746	0.9784695451005067	0.06835053	null
GO:0046688	"response to copper ion"	46688	NaN	1.5314789170422551	0.15931254224196195	0.9758622686023576	0.55008098	10040
GO:0010248	"establishment or maintenance of transmembrane electrochemical gradient"	NaN	1.1760912590556813	0.06758713913295356	0.8989205369612381	0.19586822	null
GO:0010256	"endomembrane system organization"	NaN	2.710963118995276	2.4765858839432267	0.9398713878778566	0.23869049	null
GO:0010257	"NADH dehydrogenase complex assembly"	NaN	1.7781512503836436	0.2848315149174471	0.9381938369327899	0.41950796	null
GO:0010506	"regulation of autophagy"	NaN	2.4683473304121573	1.4145022689968139	0.9406791962638167	0.22823453	null
GO:0009895	"negative regulation of catabolic process"	9895	NaN	2.519827993775719	1.5931254224196194	0.924441600719297	0.71512424	10506
GO:0042176	"regulation of protein catabolic process"	42176	NaN	2.5490032620257876	1.704161436709472	0.9255701477059788	0.70491564	10506
GO:0010657	"muscle cell apoptotic process"	NaN	1.380211241711606	0.11103601428985228	0.985893121608137	0.41149765	null
GO:0010658	"striated muscle cell apoptotic process"	NaN	1.2787536009528289	0.08689775031379744	0.9861605739057782	0.00960967	null
GO:0010660	"regulation of muscle cell apoptotic process"	NaN	2.0492180226701815	0.5358694602684175	0.9533133530949587	0.04642539	null
GO:0042981	"regulation of apoptotic process"	42981	NaN	3.199480914862356	7.637346722023752	0.9369615450312002	0.83645762	10660
GO:0043065	"positive regulation of apoptotic process"	43065	NaN	2.7902851640332416	2.973834121849957	0.9175368069028301	0.72336879	10660
GO:0043066	"negative regulation of apoptotic process"	43066	NaN	2.9907826918031377	4.721444433716327	0.9193414019095406	0.67777698	10660
GO:0043068	"positive regulation of programmed cell death"	43068	NaN	2.806179973983887	3.0848701361398088	0.9178243522096278	0.71675031	10660
GO:0043069	"negative regulation of programmed cell death"	43069	NaN	3.003029470553618	4.856618711982234	0.9199897740274664	0.77026975	10660
GO:0043523	"regulation of neuron apoptotic process"	43523	NaN	2.5010592622177517	1.525538283286666	0.9479363587168504	0.50482663	10660
GO:0043524	"negative regulation of neuron apoptotic process"	43524	NaN	2.3242824552976926	1.0138070869943032	0.9314364057863685	0.75293832	10660
GO:0043525	"positive regulation of neuron apoptotic process"	43525	NaN	2.0086001717619175	0.4875929323163078	0.9313555828147984	0.83087301	10660
GO:1902175	"regulation of oxidative stress-induced intrinsic apoptotic signaling pathway"	1902175	NaN	1.5797835966168101	0.17862315342280582	0.9409735175045141	0.69819202	10660
GO:1902176	"negative regulation of oxidative stress-induced intrinsic apoptotic signaling pathway"	1902176	NaN	1.4313637641589874	0.12551897267548517	0.9293239554250489	0.73051128	10660
GO:2001233	"regulation of apoptotic signaling pathway"	2001233	NaN	2.598790506763115	1.9117505069035434	0.9289196687531948	0.5837066	10660
GO:2001242	"regulation of intrinsic apoptotic signaling pathway"	2001242	NaN	2.2380461031287955	0.8303562807762865	0.9322565805661731	0.52946432	10660
GO:2001243	"negative regulation of intrinsic apoptotic signaling pathway"	2001243	NaN	2.0043213737826426	0.4827652795210968	0.9201719689016203	0.81489932	10660
GO:0010807	"regulation of synaptic vesicle priming"	NaN	1.0791812460476249	0.05310418074732066	0.9173667242054008	0.25354959	null
GO:0008064	"regulation of actin polymerization or depolymerization"	8064	NaN	2.2278867046136734	0.8110456695954427	0.814591405136727	0.97526121	10807
GO:0010975	"regulation of neuron projection development"	10975	NaN	2.7634279935629373	2.795210968427151	0.8853510157770736	0.77333687	10807
GO:0010976	"positive regulation of neuron projection development"	10976	NaN	2.3654879848909	1.1151877956937337	0.8730370359815229	0.78524312	10807
GO:0030833	"regulation of actin filament polymerization"	30833	NaN	2.173186268412274	0.7144926136912233	0.8077243390153621	0.87957806	10807
GO:0030837	"negative regulation of actin filament polymerization"	30837	NaN	1.8129133566428555	0.30896977889350197	0.8068399495545863	0.89087529	10807
GO:0030838	"positive regulation of actin filament polymerization"	30838	NaN	1.7403626894942439	0.2606932509413923	0.8070928571006383	0.79521876	10807
GO:0031333	"negative regulation of protein-containing complex assembly"	31333	NaN	2.1702617153949575	0.7096649608960124	0.8781868839645437	0.80041107	10807
GO:0031334	"positive regulation of protein-containing complex assembly"	31334	NaN	2.292256071356476	0.9413922950661389	0.8719399243504588	0.82476704	10807
GO:0031345	"negative regulation of cell projection organization"	31345	NaN	2.3521825181113627	1.0813942261272569	0.8761726609309457	0.77641026	10807
GO:0031346	"positive regulation of cell projection organization"	31346	NaN	2.6532125137753435	2.1676161050497247	0.8653082527937397	0.8492827	10807
GO:0032271	"regulation of protein polymerization"	32271	NaN	2.311753861055754	0.9848411702230376	0.8932509000548711	0.69744548	10807
GO:0032272	"negative regulation of protein polymerization"	32272	NaN	1.9084850188786497	0.38621222361687746	0.8837020716981565	0.75256047	10807
GO:0032273	"positive regulation of protein polymerization"	32273	NaN	1.9493900066449128	0.42483344597856526	0.8802488322450746	0.83046613	10807
GO:0043254	"regulation of protein-containing complex assembly"	43254	NaN	2.6201360549737576	2.008303562807763	0.8882995902181379	0.76299963	10807
GO:0044089	"positive regulation of cellular component biogenesis"	44089	NaN	2.7218106152125467	2.5393453702809694	0.9092239820601784	0.51582344	10807
GO:0051489	"regulation of filopodium assembly"	51489	NaN	1.7481880270062005	0.26552090373660325	0.9004538618472183	0.86428327	10807
GO:0060491	"regulation of cell projection assembly"	60491	NaN	2.3180633349627615	0.9993241286086705	0.8885248735399756	0.69867531	10807
GO:0120032	"regulation of plasma membrane bounded cell projection assembly"	120032	NaN	2.311753861055754	0.9848411702230376	0.8874454062046653	0.69744548	10807
GO:0120034	"positive regulation of plasma membrane bounded cell projection assembly"	120034	NaN	2.0530784434834195	0.5406971130636284	0.8734293769448913	0.92674432	10807
GO:0120035	"regulation of plasma membrane bounded cell projection organization"	120035	NaN	2.8870543780509568	3.7172926523124454	0.8816968217802849	0.91596583	10807
GO:1901888	"regulation of cell junction assembly"	1901888	NaN	2.383815365980431	1.1634643236458435	0.894537025789256	0.71174936	10807
GO:1902115	"regulation of organelle assembly"	1902115	NaN	2.359835482339888	1.1007048373081008	0.88832375146239	0.70692595	10807
GO:1902117	"positive regulation of organelle assembly"	1902117	NaN	1.9493900066449128	0.42483344597856526	0.8777306275020179	0.6332492	10807
GO:0010810	"regulation of cell-substrate adhesion"	NaN	2.330413773349191	1.0282900453799362	0.9635839547683126	0.04434075	null
GO:0010817	"regulation of hormone levels"	NaN	2.8048206787211623	3.075214830549387	0.9330142431313976	0.46725588	null
GO:0010876	"lipid localization"	NaN	2.59659709562646	1.9020952013131216	0.8929339862433584	0.36803244	null
GO:0010927	"cellular component assembly involved in morphogenesis"	NaN	2.123851640967086	0.6372501689678478	0.9109276578336699	0.45090937	null
GO:0014070	"response to organic cyclic compound"	NaN	2.966610986681934	4.465578835570145	0.9632559405631759	0.3435581	null
GO:0009725	"response to hormone"	9725	NaN	2.921686475483602	4.026262431205948	0.9580166121802806	0.53871826	14070
GO:0010243	"response to organonitrogen compound"	10243	NaN	3.0013009330204183	4.83730810080139	0.9564372291334596	0.55482648	14070
GO:0030970	"retrograde protein transport, ER to cytosol"	30970	NaN	1.2787536009528289	0.08689775031379744	0.7920587859138767	0.71355151	14070
GO:0032868	"response to insulin"	32868	NaN	2.3783979009481375	1.1489813652602103	0.9535805491402924	0.87056347	14070
