TermID	Name	Value	LogSize	Frequency	Uniqueness	Dispensability	Representative
GO:0048585	"negative regulation of response to stimulus"	NaN	3.2132520521963968	7.883557014579512	0.9483139276702667	0.35374806	null
GO:0007155	"cell adhesion"	NaN	2.964259630196849	4.441440571594091	0.9817044582597881	0.0192025	null
GO:0022603	"regulation of anatomical structure morphogenesis"	NaN	2.9566485792052033	4.364198126870716	0.9501632707713464	0.05530502	null
GO:0051960	"regulation of nervous system development"	51960	NaN	2.77232170672292	2.8531428019696827	0.9510537608393379	0.65280649	22603
GO:0050767	"regulation of neurogenesis"	50767	NaN	2.6857417386022635	2.336583952882109	0.9480971078094611	0.51990853	22603
GO:0051962	"positive regulation of nervous system development"	51962	NaN	2.5877109650189114	1.8634739789514336	0.9394919221821616	0.89292599	22603
GO:0007017	"microtubule-based process"	NaN	2.94546858513182	4.253162112580863	0.9818072714715319	0.01795034	null
GO:0070925	"organelle assembly"	NaN	2.920123326290724	4.011779472820315	0.9048191402637086	0.47265303	null
GO:0007010	"cytoskeleton organization"	7010	NaN	3.1061908972634154	6.160084966689196	0.9066072116495394	0.54006828	70925
GO:0060322	"head development"	NaN	2.9190780923760737	4.002124167229893	0.9661252285925329	0.29992424	null
GO:0043603	"amide metabolic process"	NaN	2.9138138523837167	3.9538476392777833	0.9115676038209298	0.17856488	null
GO:0007420	"brain development"	NaN	2.888179493918325	3.7269479579028673	0.9324081434592479	0.29138143	null
GO:0022008	"neurogenesis"	22008	NaN	3.180412632838324	7.309066331949405	0.9097175596495083	0.71424467	7420
GO:0048699	"generation of neurons"	48699	NaN	3.116275587580544	6.304914550545525	0.9043507585598268	0.75115649	7420
GO:0120036	"plasma membrane bounded cell projection organization"	120036	NaN	3.1007150865730817	6.08284252196582	0.8978891084191698	0.8538298	7420
GO:0030182	"neuron differentiation"	30182	NaN	3.0870712059065353	5.894564062952592	0.9026986160506404	0.88109842	7420
GO:0007417	"central nervous system development"	7417	NaN	3.0111473607757975	4.948344115091243	0.931239486189527	0.6378334	7420
GO:0048666	"neuron development"	48666	NaN	2.9934362304976116	4.750410350487593	0.9039654133498221	0.8461785	7420
GO:0031175	"neuron projection development"	31175	NaN	2.905256048748451	3.8766051945544078	0.8534099765426334	0.83604654	7420
GO:0048858	"cell projection morphogenesis"	48858	NaN	2.7551122663950713	2.74210678767983	0.8780165975412999	0.91340509	7420
GO:0120039	"plasma membrane bounded cell projection morphogenesis"	120039	NaN	2.7489628612561616	2.703485565318142	0.8772609680659671	0.96731512	7420
GO:0048812	"neuron projection morphogenesis"	48812	NaN	2.7442929831226763	2.6745196485468763	0.8510280011084107	0.85655618	7420
GO:0048667	"cell morphogenesis involved in neuron differentiation"	48667	NaN	2.7134905430939424	2.4910688423288594	0.8985491712544209	0.57513376	7420
GO:0061564	"axon development"	61564	NaN	2.677606952720493	2.2931350777252097	0.8609888638355997	0.77726575	7420
GO:0007409	"axonogenesis"	7409	NaN	2.6190933306267428	2.003475910012552	0.8558966230773212	0.93286285	7420
GO:0030902	"hindbrain development"	30902	NaN	2.296665190261531	0.9510476006565608	0.9424523346453639	0.77773829	7420
GO:0016358	"dendrite development"	16358	NaN	2.1760912590556813	0.7193202664864343	0.8776861947984712	0.67281121	7420
GO:0048813	"dendrite morphogenesis"	48813	NaN	1.9138138523837167	0.3910398764120884	0.8773473402123272	0.8290166	7420
GO:0060996	"dendritic spine development"	60996	NaN	1.6020599913279623	0.18827845901322776	0.891146753183389	0.58233423	7420
GO:0007610	"behavior"	NaN	2.887617300335736	3.722120305107657	0.9772231077925827	0	null
GO:0061024	"membrane organization"	NaN	2.8739015978644615	3.606256638022593	0.9258398908148351	0.27517262	null
GO:0019725	"cellular homeostasis"	NaN	2.8530895298518657	3.4372887901902094	1	0	null
GO:0032989	"cellular anatomical entity morphogenesis"	NaN	2.8363241157067516	3.3069421647195134	0.9555936019933982	0	null
GO:0000902	"cell morphogenesis"	902	NaN	2.9020028913507296	3.8476392777831414	0.954721885345781	0.57251973	32989
GO:0030001	"metal ion transport"	NaN	2.8318697742805017	3.2731485951530366	0.8617045544302405	0.4448027	null
GO:0034220	"monoatomic ion transmembrane transport"	34220	NaN	2.9190780923760737	4.002124167229893	0.8404215592268949	0.89868486	30001
GO:0006812	"monoatomic cation transport"	6812	NaN	2.9148718175400505	3.963502944868205	0.8588742196739865	0.87150137	30001
GO:0098655	"monoatomic cation transmembrane transport"	98655	NaN	2.846337112129805	3.384184609442889	0.843248077777583	0.91106012	30001
GO:0031329	"regulation of cellular catabolic process"	NaN	2.788168371141168	2.9593511634643237	0.9612934033998134	0.17774383	null
GO:0034330	"cell junction organization"	NaN	2.7788744720027396	2.896591677126581	0.9277661493524831	0.26628177	null
GO:0099177	"regulation of trans-synaptic signaling"	NaN	2.7774268223893115	2.886936371536159	0.9550132771287334	0.42419547	null
GO:0050804	"modulation of chemical synaptic transmission"	NaN	2.776701183988411	2.882108718740948	0.9550228528373366	0.35151301	null
GO:0030029	"actin filament-based process"	NaN	2.7745169657285498	2.867625760355315	0.9826916935646589	0.01663366	null
GO:0097435	"supramolecular fiber organization"	NaN	2.7745169657285498	2.867625760355315	0.9278521208918245	0.26052809	null
GO:1901137	"carbohydrate derivative biosynthetic process"	NaN	2.7737864449811935	2.862798107560104	0.879637064956499	0.3296783	null
GO:0006753	"nucleoside phosphate metabolic process"	6753	NaN	2.724275869600789	2.553828328666602	0.7833625363643897	0.80953521	1901137
GO:0009117	"nucleotide metabolic process"	9117	NaN	2.718501688867274	2.5200347591001258	0.7810458484688545	0.95564563	1901137
GO:0090407	"organophosphate biosynthetic process"	90407	NaN	2.7067177823367587	2.452447619967172	0.8235952824865677	0.78374462	1901137
GO:0006163	"purine nucleotide metabolic process"	6163	NaN	2.667452952889954	2.2400308969778893	0.7781622257031912	0.93664551	1901137
GO:0019693	"ribose phosphate metabolic process"	19693	NaN	2.6190933306267428	2.003475910012552	0.8338675400610519	0.777389	1901137
GO:0009259	"ribonucleotide metabolic process"	9259	NaN	2.606381365110605	1.9455440764700203	0.7818051473637463	0.96610477	1901137
GO:0009150	"purine ribonucleotide metabolic process"	9150	NaN	2.583198773968623	1.84416336777059	0.7776464546972872	0.90112792	1901137
GO:1901293	"nucleoside phosphate biosynthetic process"	1901293	NaN	2.406540180433955	1.226223809983586	0.7858790852107257	0.85555266	1901137
GO:0009165	"nucleotide biosynthetic process"	9165	NaN	2.404833716619938	1.221396157188375	0.7789730268885714	0.96693031	1901137
GO:0006164	"purine nucleotide biosynthetic process"	6164	NaN	2.326335860928751	1.0186347397895144	0.7784975903575673	0.96628078	1901137
GO:0009141	"nucleoside triphosphate metabolic process"	9141	NaN	2.322219294733919	1.0089794341990925	0.8016433133557664	0.83536429	1901137
GO:0046390	"ribose phosphate biosynthetic process"	46390	NaN	2.307496037913213	0.9751858646326156	0.8275388924279212	0.70899321	1901137
GO:0009260	"ribonucleotide biosynthetic process"	9260	NaN	2.294466226161593	0.9462199478613499	0.7811074175997078	0.97550862	1901137
GO:0009144	"purine nucleoside triphosphate metabolic process"	9144	NaN	2.290034611362518	0.936564642270928	0.7940672306922321	0.9730463	1901137
GO:0009199	"ribonucleoside triphosphate metabolic process"	9199	NaN	2.285557309007774	0.9269093366805059	0.7942825956362172	0.95464487	1901137
GO:0009205	"purine ribonucleoside triphosphate metabolic process"	9205	NaN	2.271841606536499	0.8979434199092402	0.7943906783727692	0.96984183	1901137
GO:0009152	"purine ribonucleotide biosynthetic process"	9152	NaN	2.2600713879850747	0.8738051559331853	0.7789074203196119	0.86481177	1901137
GO:0046034	"ATP metabolic process"	46034	NaN	2.2121876044039577	0.7820797528241769	0.7878619709348793	0.89523902	1901137
GO:0009142	"nucleoside triphosphate biosynthetic process"	9142	NaN	2.012837224705172	0.4924205851115188	0.7934454444284236	0.72751105	1901137
GO:0009201	"ribonucleoside triphosphate biosynthetic process"	9201	NaN	1.9822712330395684	0.458627015545042	0.7915666880019816	0.9780308	1901137
GO:0009145	"purine nucleoside triphosphate biosynthetic process"	9145	NaN	1.9637878273455553	0.4393164043641981	0.7924212640389607	0.96162812	1901137
GO:0009206	"purine ribonucleoside triphosphate biosynthetic process"	9206	NaN	1.9590413923210936	0.43448875156898714	0.7922967723198479	0.98181746	1901137
GO:0006754	"ATP biosynthetic process"	6754	NaN	1.9030899869919435	0.3813845708216665	0.7885414151706747	0.95028791	1901137
GO:0015986	"proton motive force-driven ATP synthesis"	15986	NaN	1.8388490907372552	0.32828039007434584	0.7913086606290017	0.96094194	1901137
GO:0042776	"proton motive force-driven mitochondrial ATP synthesis"	42776	NaN	1.792391689498254	0.29448682050786906	0.7621682992408642	0.8736672	1901137
GO:0090066	"regulation of anatomical structure size"	NaN	2.7708520116421442	2.8434874963792605	0.958882667808614	0.42547097	null
GO:0046903	"secretion"	NaN	2.7528164311882715	2.727623829294197	0.8710380570602173	0.38511707	null
GO:0051668	"localization within membrane"	NaN	2.7520484478194387	2.7227961764989863	0.8575081319683444	0.44447859	null
GO:0010035	"response to inorganic substance"	NaN	2.749736315569061	2.7083132181133536	0.9694852277413591	0.21471105	null
GO:0051640	"organelle localization"	NaN	2.7489628612561616	2.703485565318142	0.8882527808251129	0.29011322	null
GO:0006518	"peptide metabolic process"	NaN	2.74350976472843	2.6696919957516654	0.8839736787305459	0.26034709	null
GO:0043604	"amide biosynthetic process"	43604	NaN	2.720159303405957	2.5296900646905476	0.8333612208086963	0.85003657	6518
GO:0043043	"peptide biosynthetic process"	43043	NaN	2.6148972160331345	1.9841652988317078	0.830602596531772	0.90734276	6518
GO:0006412	"translation"	6412	NaN	2.5888317255942073	1.868301631746645	0.827650697138906	0.81615439	6518
GO:0002181	"cytoplasmic translation"	2181	NaN	2.12057393120585	0.6324225161726369	0.845665938659667	0.84971298	6518
GO:0032543	"mitochondrial translation"	32543	NaN	2.0453229787866576	0.5310418074732065	0.8482588825651043	0.83360801	6518
GO:0140241	"translation at synapse"	140241	NaN	1.6901960800285136	0.23172733417012648	0.8594739680100527	0.64262085	6518
GO:0140242	"translation at postsynapse"	140242	NaN	1.6901960800285136	0.23172733417012648	0.857777561512947	0.99595477	6518
GO:0140236	"translation at presynapse"	140236	NaN	1.6812412373755872	0.2268996813749155	0.8580406214557188	0.63897707	6518
GO:0030036	"actin cytoskeleton organization"	NaN	2.734799829588847	2.616587815004345	0.907024390552865	0.43216046	null
GO:0007015	"actin filament organization"	7015	NaN	2.4533183400470375	1.366225741044704	0.9129642337253001	0.86936878	30036
GO:0008154	"actin polymerization or depolymerization"	8154	NaN	1.792391689498254	0.29448682050786906	0.9243355745535137	0.72850602	30036
GO:0030041	"actin filament polymerization"	30041	NaN	1.5797835966168101	0.17862315342280582	0.9192950785722688	0.6919778	30036
GO:0044089	"positive regulation of cellular component biogenesis"	NaN	2.7218106152125467	2.5393453702809694	0.9427269459674497	0.06783714	null
GO:0043254	"regulation of protein-containing complex assembly"	43254	NaN	2.6201360549737576	2.008303562807763	0.911989138808902	0.76299963	44089
GO:1901888	"regulation of cell junction assembly"	1901888	NaN	2.383815365980431	1.1634643236458435	0.9172495333264584	0.71174936	44089
GO:0032271	"regulation of protein polymerization"	32271	NaN	2.311753861055754	0.9848411702230376	0.9177626839040698	0.69744548	44089
GO:0051301	"cell division"	NaN	2.7151673578484576	2.5007241479192817	0.9829788136223379	0.01458633	null
GO:0010256	"endomembrane system organization"	NaN	2.710963118995276	2.4765858839432267	0.9290834862163768	0.23869049	null
GO:0140352	"export from cell"	NaN	2.6989700043360187	2.4089987448102734	0.8609650171156478	0.39221028	null
GO:0072521	"purine-containing compound metabolic process"	NaN	2.693726948923647	2.3800328280390075	0.8520718697738857	0.37702543	null
GO:1901615	"organic hydroxy compound metabolic process"	NaN	2.690196080028514	2.3607222168581634	0.9247073245829233	0.17838825	null
GO:0043269	"regulation of monoatomic ion transport"	NaN	2.6541765418779604	2.1724437578449356	0.9281274352356628	0.05620117	null
GO:0051049	"regulation of transport"	51049	NaN	3.2392994791268923	8.37114994689582	0.9174259153997765	0.7474703	43269
GO:0060341	"regulation of cellular localization"	60341	NaN	3.0211892990699383	5.0642077821763065	0.9205975726334015	0.67272746	43269
GO:0051050	"positive regulation of transport"	51050	NaN	2.9800033715837464	4.605580766631264	0.9114615013627693	0.71003895	43269
GO:0032880	"regulation of protein localization"	32880	NaN	2.975891136401793	4.562131891474365	0.9140564607788458	0.59041079	43269
GO:0051046	"regulation of secretion"	51046	NaN	2.873320601815399	3.6014289852273826	0.9233573467686343	0.67304275	43269
GO:1903530	"regulation of secretion by cell"	1903530	NaN	2.8273692730538253	3.23935502558656	0.9197049888361926	0.64886072	43269
GO:0070201	"regulation of establishment of protein localization"	70201	NaN	2.7708520116421442	2.8434874963792605	0.9182689687576173	0.85201969	43269
GO:0060627	"regulation of vesicle-mediated transport"	60627	NaN	2.7641761323903307	2.8000386212223614	0.9235145488824348	0.61385209	43269
GO:0051223	"regulation of protein transport"	51223	NaN	2.705007959333336	2.44279231437675	0.915465852768665	0.83298673	43269
GO:1903829	"positive regulation of protein localization"	1903829	NaN	2.699837725867246	2.413826397605484	0.9108144088024821	0.83152793	43269
GO:1903532	"positive regulation of secretion by cell"	1903532	NaN	2.5599066250361124	1.7476103118663706	0.9152699415230053	0.85709646	43269
GO:1904951	"positive regulation of establishment of protein localization"	1904951	NaN	2.5390760987927767	1.665540214347784	0.9124849214606483	0.88609839	43269
GO:0030100	"regulation of endocytosis"	30100	NaN	2.505149978319906	1.540021241672299	0.8804517901953737	0.56799458	43269
GO:0051222	"positive regulation of protein transport"	51222	NaN	2.4608978427565478	1.390364005020759	0.9108072344106204	0.86606553	43269
GO:1905475	"regulation of protein localization to membrane"	1905475	NaN	2.322219294733919	1.0089794341990925	0.9277244886463224	0.7371296	43269
GO:0050714	"positive regulation of protein secretion"	50714	NaN	2.24551266781415	0.8448392391619195	0.9134721672316345	0.88996479	43269
GO:0048259	"regulation of receptor-mediated endocytosis"	48259	NaN	2.0755469613925306	0.5696630298348943	0.8927573761954101	0.74410147	43269
GO:0044283	"small molecule biosynthetic process"	NaN	2.6522463410033232	2.1627884522545138	0.8581502422712771	0.37538012	null
GO:0006082	"organic acid metabolic process"	6082	NaN	2.921686475483602	4.026262431205948	0.8358823094893539	0.72905627	44283
GO:0043436	"oxoacid metabolic process"	43436	NaN	2.9138138523837167	3.9538476392777833	0.8325298320882993	0.95162284	44283
GO:0019752	"carboxylic acid metabolic process"	19752	NaN	2.9057958803678687	3.8814328473496187	0.8328577260588944	0.6650888	44283
GO:0055086	"nucleobase-containing small molecule metabolic process"	55086	NaN	2.7737864449811935	2.862798107560104	0.8212246080388071	0.69250462	44283
GO:0044282	"small molecule catabolic process"	44282	NaN	2.531478917042255	1.6365742975765183	0.8536869751584548	0.59280768	44283
GO:0016054	"organic acid catabolic process"	16054	NaN	2.359835482339888	1.1007048373081008	0.8308004685285173	0.89710865	44283
GO:0046395	"carboxylic acid catabolic process"	46395	NaN	2.359835482339888	1.1007048373081008	0.8307352834451038	0.79986559	44283
GO:1901605	"alpha-amino acid metabolic process"	1901605	NaN	2.3010299956639813	0.9607029062469827	0.847771973188863	0.78608154	44283
GO:0007005	"mitochondrion organization"	NaN	2.6414741105040997	2.1096842715071933	0.9177751899583197	0.40535079	null
GO:0009314	"response to radiation"	NaN	2.640481436970422	2.104856618711982	0.9766530979752771	0.10997872	null
GO:0009416	"response to light stimulus"	9416	NaN	2.509202522331103	1.5545042000579319	0.9751076383725517	0.67955818	9314
GO:0007632	"visual behavior"	7632	NaN	1.9138138523837167	0.3910398764120884	0.9507150144175397	0.77865792	9314
GO:0032940	"secretion by cell"	NaN	2.640481436970422	2.104856618711982	0.8405821712164793	0.34208872	null
GO:0006887	"exocytosis"	6887	NaN	2.392696953259666	1.1876025876218983	0.8283447273918697	0.87681025	32940
GO:0023061	"signal release"	23061	NaN	2.342422680822206	1.057255962151202	0.8066461988900434	0.86468983	32940
GO:0045055	"regulated exocytosis"	45055	NaN	2.184691430817599	0.7338032248720672	0.8336571454055942	0.83568622	32940
GO:0140029	"exocytic process"	140029	NaN	1.9030899869919435	0.3813845708216665	0.8433741302418114	0.77119517	32940
GO:0017156	"calcium-ion regulated exocytosis"	17156	NaN	1.724275869600789	0.25103794535097035	0.8486077060013262	0.73844649	32940
GO:0032535	"regulation of cellular component size"	NaN	2.615950051656401	1.9889929516269191	0.891047266453784	0.44002752	null
GO:0006417	"regulation of translation"	NaN	2.6127838567197355	1.9745099932412862	0.9594756521055429	0.36564075	null
GO:0031399	"regulation of protein modification process"	31399	NaN	3.0265332645232967	5.126967268514048	0.9580859217675449	0.67614799	6417
GO:0051248	"negative regulation of protein metabolic process"	51248	NaN	2.808210972924222	3.099353094525442	0.9489561511861011	0.58894817	6417
GO:0032970	"regulation of actin filament-based process"	NaN	2.6053050461411096	1.9407164236748093	0.9707952293108363	0.0327798	null
GO:0007268	"chemical synaptic transmission"	NaN	2.5921767573958667	1.8827845901322777	0.9171600636981766	0.25364664	null
GO:0099536	"synaptic signaling"	99536	NaN	2.662757831681574	2.2158926330018347	0.9228330807144257	0.76268539	7268
GO:0099537	"trans-synaptic signaling"	99537	NaN	2.61066016308988	1.9648546876508644	0.9173005727818074	0.94280432	7268
GO:0098916	"anterograde trans-synaptic signaling"	98916	NaN	2.5921767573958667	1.8827845901322777	0.9172543393150346	0.96982182	7268
GO:0007269	"neurotransmitter secretion"	7269	NaN	2	0.47793762672588586	0.7973754570460604	0.83677186	7268
GO:0099643	"signal release from synapse"	99643	NaN	2	0.47793762672588586	0.815528196624767	0.84241409	7268
GO:0016079	"synaptic vesicle exocytosis"	16079	NaN	1.845098040014257	0.3331080428695568	0.7807170414467425	0.96269971	7268
GO:0098926	"postsynaptic signal transduction"	98926	NaN	1.845098040014257	0.3331080428695568	0.9169873386549084	0.76989718	7268
GO:1905145	"cellular response to acetylcholine"	1905145	NaN	1.7481880270062005	0.26552090373660325	0.9392974893272311	0.98519444	7268
GO:0095500	"acetylcholine receptor signaling pathway"	95500	NaN	1.7323937598229686	0.2558655981461813	0.889450813954404	0.74946499	7268
GO:0007213	"G protein-coupled acetylcholine receptor signaling pathway"	7213	NaN	1.3424226808222062	0.10138070869943033	0.8972022695864242	0.9198162	7268
GO:1902903	"regulation of supramolecular fiber organization"	NaN	2.584331224367531	1.848991020565801	0.9198969832074502	0.05739092	null
GO:0051130	"positive regulation of cellular component organization"	51130	NaN	3.090610707828407	5.942840590904702	0.8958857109473382	0.64797119	1902903
GO:0033043	"regulation of organelle organization"	33043	NaN	3.0726174765452368	5.701457951144154	0.9077999631378163	0.60072057	1902903
GO:0031344	"regulation of cell projection organization"	31344	NaN	2.8965262174895554	3.799362749831032	0.9125444473283898	0.50755531	1902903
GO:0120035	"regulation of plasma membrane bounded cell projection organization"	120035	NaN	2.8870543780509568	3.7172926523124454	0.9060476523941579	0.91596583	1902903
GO:0051129	"negative regulation of cellular component organization"	51129	NaN	2.864511081058392	3.529014193299218	0.9028154823898925	0.55715443	1902903
GO:0010975	"regulation of neuron projection development"	10975	NaN	2.7634279935629373	2.795210968427151	0.9091978239334594	0.53818738	1902903
GO:0051493	"regulation of cytoskeleton organization"	51493	NaN	2.7218106152125467	2.5393453702809694	0.911656932093827	0.53074647	1902903
GO:0031346	"positive regulation of cell projection organization"	31346	NaN	2.6532125137753435	2.1676161050497247	0.9010459364268407	0.8492827	1902903
GO:0050773	"regulation of dendrite development"	50773	NaN	2.164352855784437	0.7000096553055903	0.9095935902653832	0.74241947	1902903
GO:0048814	"regulation of dendrite morphogenesis"	48814	NaN	2.0086001717619175	0.4875929323163078	0.9086068341309522	0.71225684	1902903
GO:0040011	"locomotion"	NaN	2.5809249756756194	1.834508062180168	1	0	null
GO:0006979	"response to oxidative stress"	NaN	2.57978359661681	1.829680409384957	0.9848194106266358	0	null
GO:0050890	"cognition"	NaN	2.578639209968072	1.824852756589746	0.9695117627897198	0.43182277	null
GO:0010038	"response to metal ion"	NaN	2.5774917998372255	1.8200251037945352	0.962324466492836	0.2890451	null
GO:0071241	"cellular response to inorganic substance"	71241	NaN	2.3729120029701067	1.1344984068745776	0.942253566434936	0.82757371	10038
GO:0071248	"cellular response to metal ion"	71248	NaN	2.311753861055754	0.9848411702230376	0.9426239475042585	0.82560194	10038
GO:0051592	"response to calcium ion"	51592	NaN	2.187520720836463	0.7386308776672782	0.9650554639723246	0.78773374	10038
GO:0006091	"generation of precursor metabolites and energy"	NaN	2.5646660642520893	1.7669209230472143	0.90439142622071	0.19632615	null
GO:0016050	"vesicle organization"	NaN	2.519827993775719	1.5931254224196194	0.920283424994214	0.30892679	null
GO:0034655	"nucleobase-containing compound catabolic process"	NaN	2.510545010206612	1.5593318528531428	0.8362022240614698	0.44161236	null
GO:1901565	"organonitrogen compound catabolic process"	1901565	NaN	3.0511525224473814	5.426281741817129	0.8638944464907579	0.78339828	34655
GO:0044248	"cellular catabolic process"	44248	NaN	3.037027879755775	5.2524862411895334	0.8643549309648865	0.68703153	34655
GO:0009057	"macromolecule catabolic process"	9057	NaN	2.989894563718773	4.711789128125905	0.8838675038982	0.73228355	34655
GO:0030163	"protein catabolic process"	30163	NaN	2.870403905279027	3.5772907212513276	0.8649042127876018	0.6449342	34655
GO:1901361	"organic cyclic compound catabolic process"	1901361	NaN	2.6148972160331345	1.9841652988317078	0.8706632536125871	0.57866423	34655
GO:0019439	"aromatic compound catabolic process"	19439	NaN	2.5854607295085006	1.8538186733610118	0.8486202895734419	0.69513853	34655
GO:0046700	"heterocycle catabolic process"	46700	NaN	2.561101383649056	1.7524379646615815	0.8496559528601187	0.6804827	34655
GO:0044270	"cellular nitrogen compound catabolic process"	44270	NaN	2.5575072019056577	1.7379550062759486	0.8461821598610147	0.68959755	34655
GO:0006401	"RNA catabolic process"	6401	NaN	2.1986570869544226	0.7579414888481221	0.846613036698624	0.88066547	34655
GO:0006402	"mRNA catabolic process"	6402	NaN	2.110589710299249	0.6179395577870039	0.8121434139502659	0.86121734	34655
GO:0000957	"mitochondrial RNA catabolic process"	957	NaN	0.6989700043360189	0.019310611180843873	0.8875083587581796	0.62644122	34655
GO:0050803	"regulation of synapse structure or activity"	NaN	2.505149978319906	1.540021241672299	0.9616679864851971	0.34231595	null
GO:0050807	"regulation of synapse organization"	NaN	2.494154594018443	1.5014000193106112	0.9120572907997485	0.45001289	null
GO:0022411	"cellular component disassembly"	NaN	2.4871383754771865	1.4772617553345564	0.9331085582723335	0.19426873	null
GO:1990778	"protein localization to cell periphery"	NaN	2.450249108319361	1.3565704354542822	0.8641162956890359	0.42813057	null
GO:0072657	"protein localization to membrane"	72657	NaN	2.6884198220027105	2.3510669112677416	0.8476627310609718	0.52905685	1990778
GO:0090150	"establishment of protein localization to membrane"	90150	NaN	2.3483048630481607	1.071738920536835	0.8506419073142181	0.84608129	1990778
GO:0072659	"protein localization to plasma membrane"	72659	NaN	2.3443922736851106	1.062083614946413	0.8595595617011337	0.84515824	1990778
GO:0098876	"vesicle-mediated transport to the plasma membrane"	98876	NaN	2.1398790864012365	0.6613884329439027	0.8373712612500723	0.79950747	1990778
GO:0051205	"protein insertion into membrane"	51205	NaN	1.662757831681574	0.21724437578449357	0.8306474828655809	0.70943582	1990778
GO:0022604	"regulation of cell morphogenesis"	NaN	2.4345689040341987	1.3082939075021724	0.9519677005575466	0.47953334	null
GO:0008360	"regulation of cell shape"	8360	NaN	2.164352855784437	0.7000096553055903	0.9390431198603681	0.64421836	22604
GO:1903859	"regulation of dendrite extension"	1903859	NaN	1.3979400086720377	0.11586366708506324	0.9197182800117701	0.73018047	22604
GO:0006520	"amino acid metabolic process"	NaN	2.428134794028789	1.2889832963213286	0.9266382975741303	0.12542029	null
GO:0007626	"locomotory behavior"	NaN	2.423245873936808	1.2745003379356956	0.9659001919536218	0.15608872	null
GO:0007611	"learning or memory"	7611	NaN	2.5390760987927767	1.665540214347784	0.9571972151220439	0.7492368	7626
